model,threshold,sensitivity,specificity,precision,youden_j,predicted_positive_rate
XGBoost,0.28,0.5281026027913994,0.8796641221374045,0.4153686396677051,0.40776672492880395,0.1771523178807947
XGBoost,0.29000000000000004,0.5081101471142965,0.8881221374045801,0.423718150361749,0.3962322845188766,0.16708714390833596
XGBoost,0.3,0.4854771784232365,0.8960610687022901,0.4305787888926062,0.38153824712552664,0.1571008094186902
XGBoost,0.31,0.4673708034703885,0.9034503816793893,0.43936170212765957,0.3708211851497778,0.14821822768842635
XGBoost,0.32,0.44662391550358355,0.9100458015267175,0.445615355664283,0.35666971703030104,0.13965100388941448
XGBoost,0.33,0.42625424368162956,0.9171297709923664,0.45436268596702856,0.34338401467399593,0.130715862503942
XGBoost,0.34,0.4081478687287816,0.9226564885496183,0.4607196082605919,0.33080435727839985,0.12343635025754231
XGBoost,0.35000000000000003,0.3889098453413806,0.928,0.4665158371040724,0.3169098453413808,0.11615683801114264
XGBoost,0.36000000000000004,0.36948321388155414,0.9334961832061068,0.47353154459753444,0.3029793970876611,0.108719646799117
XGBoost,0.37,0.35231987929083364,0.9389618320610688,0.4830618050168089,0.2912817113519024,0.10162409334594764
XGBoost,0.38,0.3332704639758582,0.9434198473282442,0.488121546961326,0.2766903113041024,0.09513297592767792
XGBoost,0.39,0.3181818181818182,0.9479389312977099,0.49734669811320753,0.26612074947952813,0.08914117523389047
XGBoost,0.4,0.2981893625047152,0.9518473282442748,0.500633312222926,0.25003669074898993,0.08299169557447703
XGBoost,0.41000000000000003,0.27989437947944174,0.9556030534351145,0.5051055139550715,0.23549743291455627,0.07721013350152423
XGBoost,0.42000000000000004,0.26537155790267825,0.9596335877862595,0.5155734701355807,0.2250051456889377,0.07171764953221907
XGBoost,0.43,0.24651075066012826,0.9632977099236641,0.5209246711837385,0.20980846058379243,0.06593608745926627
XGBoost,0.44,0.22897019992455678,0.9669618320610687,0.5287456445993032,0.19593203198562548,0.06033848417954378
XGBoost,0.45,0.21407016220294228,0.9702595419847329,0.5381697486960645,0.18432970418767525,0.0554241564175339
XGBoost,0.46,0.1984156921916258,0.9732519083969465,0.5456431535269709,0.17166760058857244,0.05066750762115001
XGBoost,0.47000000000000003,0.18464730290456433,0.9758473282442748,0.5531073446327683,0.1604946311488391,0.04651529485966572
XGBoost,0.48000000000000004,0.17125612976235383,0.978442748091603,0.5625774473358116,0.14969887785395697,0.0424156417533901
XGBoost,0.49,0.15861938890984534,0.9810076335877863,0.5748462064251538,0.1396270224976317,0.03844738778513613
XGBoost,0.5,0.14862316107129386,0.9829618320610687,0.5854383358098069,0.1315849931323625,0.03537264795542941
XGBoost,0.51,0.13749528479818937,0.984824427480916,0.5946166394779772,0.12231971227910532,0.0322190686429097
XGBoost,0.52,0.12712184081478686,0.9862900763358778,0.6001780943900267,0.11341191715066468,0.029512246399663617
XGBoost,0.53,0.11618257261410789,0.988,0.6105054509415263,0.1041825726141079,0.026516346052769892
XGBoost,0.54,0.1069407770652584,0.9893129770992366,0.6183206106870229,0.096253754164495,0.02409860191317145
XGBoost,0.55,0.0999622783855149,0.9906870229007634,0.6347305389221557,0.09064930128627835,0.021943656049616313
XGBoost,0.56,0.09166352319879291,0.9918167938931298,0.6445623342175066,0.08348031709192272,0.01981499001366551
XGBoost,0.5700000000000001,0.08336476801207092,0.9926412213740458,0.6471449487554904,0.07600598938611669,0.017949122253758016
XGBoost,0.5800000000000001,0.07751791776688043,0.9935572519083969,0.6607717041800643,0.07107516967527738,0.01634605276989383
XGBoost,0.59,0.07204828366654092,0.994412213740458,0.6761061946902654,0.06646049740699889,0.014848102596446967
